date,future,index
2017-10-27,4021.8,4021.968
2017-10-30,3981.6,4009.722
2017-10-31,3993.8,4006.718
2017-11-01,3981.6,3996.622
2017-11-02,3987.4,3997.134
2017-11-03,3963.4,3992.698
2017-11-06,4008.4,4020.89
2017-11-07,4049.0,4054.247
2017-11-08,4046.6,4048.006
2017-11-09,4080.2,4075.9
2017-11-10,4115.6,4111.911
2017-11-13,4127.4,4128.073
2017-11-14,4101.0,4099.351
2017-11-15,4073.4,4073.67
2017-11-16,4106.2,4105.012
2017-11-17,4118.2,4120.851
2017-11-20,4146.0,4143.833
2017-11-21,4232.4,4217.702
2017-11-22,4235.6,4227.567
2017-11-23,4099.0,4102.397
2017-11-24,4099.2,4104.203
2017-11-27,4022.0,4049.948
2017-11-28,4041.2,4055.824
2017-11-29,4035.8,4053.753
2017-11-30,3982.0,4006.099
2017-12-01,3978.8,3998.137
2017-12-04,3999.0,4018.857
2017-12-05,4017.2,4040.17
2017-12-06,3988.0,4015.821
2017-12-07,3948.6,3971.057
2017-12-08,3998.0,4003.379
2017-12-11,4067.4,4069.5
2017-12-12,4010.2,4016.016
2017-12-13,4046.6,4050.093
2017-12-14,4030.0,4026.152
2017-12-15,3977.0,3980.856
2017-12-18,3984.8,3985.291
2017-12-19,4044.0,4035.329
2017-12-20,4029.0,4030.49
2017-12-21,4082.0,4067.849
2017-12-22,4069.2,4054.598
2017-12-25,4049.2,4041.54
2017-12-26,4068.8,4053.622
2017-12-27,3991.4,3991.208
2017-12-28,4030.0,4018.897
2017-12-29,4039.8,4030.855
2018-01-02,4104.0,4087.401
2018-01-03,4121.6,4111.393
2018-01-04,4135.8,4128.812
2018-01-05,4148.2,4138.751
2018-01-08,4163.8,4160.16
2018-01-09,4197.4,4189.298
2018-01-10,4212.2,4207.813
2018-01-11,4208.4,4205.586
2018-01-12,4229.0,4225.001
2018-01-15,4223.4,4225.239
2018-01-16,4269.2,4258.473
2018-01-17,4250.6,4248.116
2018-01-18,4280.0,4271.417
2018-01-19,4290.8,4285.395
2018-01-22,4354.8,4336.597
2018-01-23,4400.0,4382.613
2018-01-24,4404.6,4389.885
2018-01-25,4373.0,4365.079
2018-01-26,4397.8,4381.3
2018-01-29,4315.2,4302.018
2018-01-30,4267.6,4256.102
2018-01-31,4280.0,4275.899
2018-02-01,4239.4,4245.898
2018-02-02,4270.4,4271.233
2018-02-05,4264.0,4274.146
2018-02-06,4119.8,4148.886
2018-02-07,4023.0,4050.497
2018-02-08,3996.8,4012.047
2018-02-09,3781.2,3840.653
2018-02-12,3865.6,3890.105
2018-02-13,3920.6,3935.632
2018-02-14,3952.4,3966.961
2018-02-22,4025.4,4052.733
2018-02-23,4049.6,4071.089
2018-02-26,4108.2,4118.419
2018-02-27,4042.0,4058.981
2018-02-28,4002.0,4023.642
2018-03-01,4035.0,4049.086
2018-03-02,4010.0,4016.461
2018-03-05,3992.0,4018.097
2018-03-06,4064.0,4066.565
2018-03-07,4009.4,4036.654
2018-03-08,4065.2,4077.6
2018-03-09,4103.6,4108.865
2018-03-12,4119.4,4127.666
2018-03-13,4075.2,4091.253
2018-03-14,4065.0,4073.345
2018-03-15,4097.6,4096.163
2018-03-16,4082.0,4056.423
2018-03-19,4049.2,4074.248
2018-03-20,4049.6,4077.704
2018-03-21,4025.0,4061.05
2018-03-22,3983.4,4020.349
2018-03-23,3816.4,3904.936
2018-03-26,3854.0,3879.893
2018-03-27,3898.0,3913.269
2018-03-28,3809.2,3842.716
2018-03-29,3886.4,3894.05
2018-03-30,3884.2,3898.498
2018-04-02,3856.4,3886.919
2018-04-03,3853.6,3862.48
2018-04-04,3841.6,3854.863
2018-04-09,3845.8,3852.929
2018-04-10,3925.8,3927.173
2018-04-11,3932.6,3938.343
2018-04-12,3892.4,3898.635
2018-04-13,3860.4,3871.144
2018-04-16,3796.6,3808.863
2018-04-17,3738.8,3748.641
2018-04-18,3754.0,3766.282
2018-04-19,3811.0,3811.843
2018-04-20,3760.2,3760.854
2018-04-23,3748.0,3766.326
2018-04-24,3835.4,3843.489
2018-04-25,3818.0,3828.702
2018-04-26,3735.4,3755.494
2018-04-27,3746.0,3756.877
2018-05-02,3758.8,3763.646
2018-05-03,3786.0,3793.0
2018-05-04,3763.4,3774.598
2018-05-07,3827.2,3834.188
2018-05-08,3880.0,3878.677
2018-05-09,3869.0,3871.615
2018-05-10,3897.8,3893.057
2018-05-11,3876.2,3872.838
2018-05-14,3912.2,3909.293
2018-05-15,3924.6,3924.098
2018-05-16,3894.6,3892.844
2018-05-17,3861.4,3864.051
2018-05-18,3903.0,3903.064
2018-05-21,3907.4,3921.242
2018-05-22,3895.0,3906.208
2018-05-23,3835.4,3854.583
2018-05-24,3805.2,3827.217
2018-05-25,3789.2,3816.498
2018-05-28,3821.2,3833.26
2018-05-29,3775.0,3804.009
2018-05-30,3699.2,3723.372
2018-05-31,3784.0,3802.376
2018-06-01,3752.8,3770.589
2018-06-04,3786.0,3807.578
2018-06-05,3822.8,3845.316
2018-06-06,3823.6,3837.351
2018-06-07,3817.2,3831.013
2018-06-08,3761.0,3779.616
2018-06-11,3773.4,3779.982
2018-06-12,3818.0,3825.953
2018-06-13,3778.4,3788.339
2018-06-14,3768.6,3773.366
2018-06-15,3722.0,3753.434
2018-06-19,3569.6,3621.117
2018-06-20,3596.4,3635.444
2018-06-21,3546.6,3592.965
2018-06-22,3572.4,3608.905
2018-06-25,3509.2,3560.478
2018-06-26,3477.0,3531.111
2018-06-27,3388.2,3459.262
2018-06-28,3380.2,3423.526
2018-06-29,3477.2,3510.985
2018-07-02,3352.6,3407.964
2018-07-03,3364.8,3409.28
2018-07-04,3330.6,3363.747
2018-07-05,3303.4,3342.438
2018-07-06,3328.2,3365.123
2018-07-09,3439.8,3459.184
2018-07-10,3445.8,3467.516
2018-07-11,3379.4,3407.53
2018-07-12,3475.2,3481.056
2018-07-13,3476.6,3492.69
2018-07-16,3459.0,3472.086
2018-07-17,3442.0,3449.377
2018-07-18,3424.0,3431.323
2018-07-19,3431.8,3428.343
2018-07-20,3473.4,3492.894
2018-07-23,3509.2,3525.75
2018-07-24,3574.2,3581.706
2018-07-25,3568.2,3577.752
2018-07-26,3525.0,3536.246
2018-07-27,3520.0,3521.227
2018-07-30,3503.2,3515.079
2018-07-31,3512.6,3517.657
2018-08-01,3423.2,3447.388
2018-08-02,3345.0,3370.958
2018-08-03,3283.6,3315.284
2018-08-06,3259.8,3273.273
