back_test_date,cal_beta_date,sto_call_number,hold_period,Margin_ratio,beta,Hedge_return,PF_retrun,Future_return
60,140,200000,5,0.1,0.4306569734733078,777.8305058100854,-3333.333333333321,4111.163839143405
60,140,200000,10,0.1,0.4306569734733078,3980.762949005853,-5666.666666666664,9647.429615672518
60,140,200000,15,0.1,0.4306569734733078,9826.850753857037,-7000.000000000028,16826.850753857067
60,140,200000,20,0.1,0.4306569734733078,14678.75282504294,-3333.333333333381,18012.08615837632
60,150,200000,5,0.1,0.44997536658853565,962.2489271934415,-3333.333333333321,4295.582260526764
60,150,200000,10,0.1,0.44997536658853565,4413.526956898101,-5666.666666666664,10080.193623564764
60,150,200000,15,0.1,0.44997536658853565,10581.668945079078,-7000.000000000028,17581.668945079105
60,150,200000,20,0.1,0.44997536658853565,15486.738258151076,-3333.333333333381,18820.071591484455
60,160,200000,5,0.1,0.440762858073053,874.303917105266,-3333.333333333321,4207.637250438587
60,160,200000,10,0.1,0.440762858073053,4207.151505062042,-5666.666666666664,9873.818171728708
60,160,200000,15,0.1,0.440762858073053,10221.713074381274,-7000.000000000028,17221.713074381307
60,160,200000,20,0.1,0.440762858073053,15101.428121925137,-3333.333333333381,18434.761455258522
60,170,200000,5,0.1,0.4327271856206421,797.5932911443948,-3333.333333333321,4130.9266244777145
60,170,200000,10,0.1,0.4327271856206421,4027.1391305404054,-5666.666666666664,9693.805797207067
60,170,200000,15,0.1,0.4327271856206421,9907.739147585038,-7000.000000000028,16907.739147585064
60,170,200000,20,0.1,0.4327271856206421,14765.338766664097,-3333.333333333381,18098.672099997475
60,180,200000,5,0.1,0.42868494266717433,759.0049851771179,-3333.333333333321,4092.33831851044
60,180,200000,10,0.1,0.42868494266717433,3936.586192157658,-5666.666666666664,9603.252858824324
60,180,200000,15,0.1,0.42868494266717433,9749.798551986974,-7000.000000000028,16749.798551987005
60,180,200000,20,0.1,0.42868494266717433,14596.273285699664,-3333.333333333381,17929.60661903305
60,190,200000,5,0.1,0.43628095087735,831.5184615609996,-3333.333333333321,4164.851794894322
60,190,200000,10,0.1,0.43628095087735,4106.749359322261,-5666.666666666664,9773.416025988925
60,190,200000,15,0.1,0.43628095087735,10046.593691391867,-7000.000000000028,17046.593691391896
60,190,200000,20,0.1,0.43628095087735,14913.97382875124,-3333.333333333381,18247.307162084624
60,200,200000,5,0.1,0.42785257713787817,751.0590066471686,-3333.333333333321,4084.3923399804903
60,200,200000,10,0.1,0.42785257713787817,3917.939825436524,-5666.666666666664,9584.606492103188
60,200,200000,15,0.1,0.42785257713787817,9717.275937941831,-7000.000000000028,16717.27593794186
60,200,200000,20,0.1,0.42785257713787817,14561.45987142234,-3333.333333333381,17894.793204755722
70,10,200000,5,0.1,-0.21084514821282643,-9777.10751185828,-8285.714285714286,-1491.393226143993
70,10,200000,10,0.1,-0.21084514821282643,-6251.527536237003,-8857.14285714282,2605.615320905817
70,10,200000,15,0.1,-0.21084514821282643,-15157.990130480435,-12000.000000000011,-3157.9901304804257
70,10,200000,20,0.1,-0.21084514821282643,-20002.335458941623,-14666.66666666671,-5335.668792274914
70,20,200000,5,0.1,0.4575055809632929,-5049.591803621435,-8285.714285714286,3236.1224820928524
70,20,200000,10,0.1,0.4575055809632929,-14510.977252964853,-8857.14285714282,-5653.834395822031
70,20,200000,15,0.1,0.4575055809632929,-5147.586645610569,-12000.000000000011,6852.413354389442
70,20,200000,20,0.1,0.4575055809632929,-3088.983844326353,-14666.66666666671,11577.682822340357
70,30,200000,5,0.1,0.6109445047762578,-3964.2560795549216,-8285.714285714286,4321.458206159368
70,30,200000,10,0.1,0.6109445047762578,-16407.168908780437,-8857.14285714282,-7550.026051637616
70,30,200000,15,0.1,0.6109445047762578,-2849.4137393800265,-12000.000000000011,9150.586260619986
70,30,200000,20,0.1,0.6109445047762578,793.9571872723063,-14666.66666666671,15460.623853939018
70,40,200000,5,0.1,0.5353674581619292,-4498.843175003773,-8285.714285714286,3786.8711107105128
70,40,200000,10,0.1,0.5353674581619292,-15473.191000176477,-8857.14285714282,-6616.048143033656
70,40,200000,15,0.1,0.5353674581619292,-3981.3893590323905,-12000.000000000011,8018.610640967621
70,40,200000,20,0.1,0.5353674581619292,-1118.6032508049127,-14666.66666666671,13548.063415861798
70,50,200000,5,0.1,0.3838346052776461,-5570.696486524015,-8285.714285714286,2715.0177991902715
70,50,200000,10,0.1,0.3838346052776461,-13600.55448734902,-8857.14285714282,-4743.411630206203
70,50,200000,15,0.1,0.3838346052776461,-6251.013573335261,-12000.000000000011,5748.986426664749
70,50,200000,20,0.1,0.3838346052776461,-4953.309057375944,-14666.66666666671,9713.357609290764
70,60,200000,5,0.1,0.5067572325748618,-4701.214901366354,-8285.714285714286,3584.4993843479338
70,60,200000,10,0.1,0.5067572325748618,-15119.627056419105,-8857.14285714282,-6262.484199276287
70,60,200000,15,0.1,0.5067572325748618,-4409.9067368360165,-12000.000000000011,7590.0932631639935
70,60,200000,20,0.1,0.5067572325748618,-1842.6165330587282,-14666.66666666671,12824.050133607981
70,70,200000,5,0.1,0.45063506627431504,-5098.189739851493,-8285.714285714286,3187.524545862792
70,70,200000,10,0.1,0.45063506627431504,-14426.071726383614,-8857.14285714282,-5568.928869240793
70,70,200000,15,0.1,0.45063506627431504,-5250.491634238583,-12000.000000000011,6749.508365761429
70,70,200000,20,0.1,0.45063506627431504,-3262.8497887105345,-14666.66666666671,11403.816877956177
70,80,200000,5,0.1,0.4872272886833867,-4839.358113451643,-8285.714285714286,3446.356172262644
