,date,open,high,low,close,volume,return_rate
0,2017-01-17,3308.6,3326.0,3291.4,3315.4,10767,
1,2017-01-18,3315.2,3358.2,3310.2,3345.0,9632,0.008928032816553027
2,2017-01-19,3335.4,3350.2,3320.0,3326.0,7728,-0.005680119581464873
3,2017-01-20,3320.2,3356.6,3320.2,3353.0,9525,0.008117859290438966
4,2017-01-23,3355.2,3379.2,3347.8,3352.0,7862,-0.00029824038174768865
5,2017-01-24,3358.0,3364.4,3342.6,3353.4,6796,0.0004176610978520558
6,2017-01-25,3346.0,3370.0,3336.0,3369.2,6715,0.0047116359515714575
7,2017-01-26,3370.4,3394.8,3370.0,3377.6,6096,0.002493173453638873
8,2017-02-03,3387.0,3387.6,3342.6,3357.0,6655,-0.006099005210800541
9,2017-02-06,3358.0,3368.6,3343.0,3354.0,7671,-0.0008936550491510277
10,2017-02-07,3354.6,3360.6,3331.2,3349.0,7257,-0.0014907573047107932
11,2017-02-08,3344.8,3373.8,3328.8,3369.4,8905,0.006091370558375661
12,2017-02-09,3367.0,3400.8,3366.6,3380.6,8169,0.003324033952632462
13,2017-02-10,3386.4,3410.2,3382.6,3402.0,8802,0.006330237235993638
14,2017-02-13,3409.4,3426.2,3404.4,3419.0,8678,0.0049970605526161085
15,2017-02-14,3423.2,3424.6,3411.0,3419.4,7010,0.00011699327288683562
16,2017-02-15,3418.8,3437.8,3408.8,3410.2,7679,-0.002690530502427406
17,2017-02-16,3414.8,3433.6,3410.0,3432.4,5645,0.0065098821183509105
18,2017-02-17,3420.0,3439.6,3391.0,3392.4,11628,-0.011653653420347278
19,2017-02-20,3401.0,3464.4,3400.2,3462.6,16250,0.020693314467633478
20,2017-02-21,3459.8,3475.8,3455.6,3459.2,15502,-0.000981921099751658
21,2017-02-22,3461.8,3469.6,3453.0,3467.0,13003,0.002254856614246121
22,2017-02-23,3463.4,3468.8,3441.0,3453.6,14452,-0.003865012979521226
23,2017-02-24,3450.0,3455.8,3438.2,3453.0,12742,-0.0001737317581653663
24,2017-02-27,3450.0,3453.2,3418.2,3426.6,13212,-0.007645525629887081
25,2017-02-28,3431.6,3445.6,3421.0,3429.4,13489,0.000817136520165815
26,2017-03-01,3430.0,3461.6,3427.8,3435.2,15034,0.0016912579459963046
27,2017-03-02,3444.4,3449.8,3412.0,3418.0,14706,-0.005006986492780571
28,2017-03-03,3413.0,3415.0,3391.0,3405.0,14394,-0.0038033937975424223
29,2017-03-06,3405.2,3431.0,3402.8,3422.0,14571,0.00499265785609398
30,2017-03-07,3422.6,3432.6,3417.4,3432.6,11863,0.0030976037405026037
31,2017-03-08,3430.0,3436.4,3421.4,3430.4,11551,-0.00064091359319461
32,2017-03-09,3424.6,3425.6,3389.2,3403.8,15795,-0.007754197761194003
33,2017-03-10,3403.0,3416.8,3402.0,3406.6,12514,0.0008226100240906419
34,2017-03-13,3407.4,3454.0,3395.6,3452.8,16304,0.013561909235014465
35,2017-03-14,3452.6,3454.8,3440.6,3446.0,11545,-0.001969416126042685
36,2017-03-15,3440.0,3458.6,3438.2,3451.4,13454,0.0015670342426001424
37,2017-03-16,3477.0,3495.4,3470.0,3481.4,11259,0.008692124934809062
38,2017-03-17,3461.0,3467.0,3396.2,3407.2,16559,-0.021313264778537448
39,2017-03-20,3423.2,3426.6,3405.8,3417.6,13051,0.00305235970885187
40,2017-03-21,3415.6,3435.6,3409.0,3435.0,14060,0.005091292134831488
41,2017-03-22,3415.0,3433.6,3399.0,3421.4,15137,-0.003959243085880614
42,2017-03-23,3425.8,3450.0,3409.0,3433.8,17346,0.0036242473841117937
43,2017-03-24,3438.4,3494.4,3438.0,3483.4,17054,0.0144446385928126
44,2017-03-27,3479.2,3489.6,3460.4,3461.0,14595,-0.006430498937819397
45,2017-03-28,3472.0,3472.8,3450.0,3458.0,13020,-0.0008668015024559376
46,2017-03-29,3463.2,3471.8,3439.6,3456.6,15005,-0.000404858299595168
47,2017-03-30,3451.2,3461.8,3422.2,3431.6,18073,-0.007232540646878435
48,2017-03-31,3431.0,3452.8,3429.2,3450.4,13610,0.005478493996969397
49,2017-04-05,3485.0,3511.2,3471.8,3507.2,16966,0.016461859494551277
50,2017-04-06,3508.0,3509.0,3487.0,3504.0,13606,-0.0009124087591240357
51,2017-04-07,3501.8,3520.8,3494.2,3510.6,13559,0.0018835616438355905
52,2017-04-10,3513.0,3513.8,3500.8,3501.6,10484,-0.00256366433088361
53,2017-04-11,3550.0,3550.0,3460.2,3505.0,16548,0.0009709846927119291
54,2017-04-12,3502.0,3512.4,3486.2,3496.0,14280,-0.0025677603423680455
55,2017-04-13,3495.6,3519.0,3491.4,3508.6,12549,0.0036041189931349856
56,2017-04-14,3507.6,3511.8,3472.8,3477.0,14666,-0.00900644131562444
57,2017-04-17,3471.0,3479.6,3455.2,3472.4,15781,-0.0013229795800977593
58,2017-04-18,3470.2,3485.8,3461.4,3462.6,13572,-0.002822255500518426
59,2017-04-19,3459.2,3461.4,3426.0,3440.0,15082,-0.006526887310113761
60,2017-04-20,3440.0,3463.8,3439.4,3458.6,10235,0.00540697674418602
61,2017-04-21,3445.0,3456.0,3432.4,3441.2,14686,-0.005030937373503757
62,2017-04-24,3439.0,3441.8,3398.2,3408.2,16700,-0.009589678019295595
63,2017-04-25,3413.0,3434.0,3412.4,3422.6,13559,0.004225104160553985
64,2017-04-26,3427.2,3448.8,3425.4,3427.8,14130,0.0015193128031322015
65,2017-04-27,3421.6,3435.2,3391.0,3426.8,16466,-0.0002917323064356147
66,2017-04-28,3426.0,3430.8,3404.2,3420.4,12840,-0.00186763160966502
67,2017-05-02,3413.8,3422.0,3404.0,3407.4,10671,-0.0038007250613963277
68,2017-05-03,3410.0,3419.6,3390.4,3396.8,12320,-0.0031108763279919906
69,2017-05-04,3391.2,3412.8,3382.0,3383.4,13859,-0.003944889307583635
70,2017-05-05,3379.8,3384.8,3351.2,3360.4,14100,-0.006797895607968315
71,2017-05-08,3361.0,3368.0,3331.2,3339.4,14202,-0.006249256040947506
72,2017-05-09,3335.0,3351.8,3326.0,3342.2,14041,0.0008384739773611209
73,2017-05-10,3346.8,3354.6,3323.2,3323.8,13822,-0.005505355753695062
74,2017-05-11,3320.0,3352.6,3310.0,3341.4,15477,0.005295144112160752
75,2017-05-12,3341.6,3370.6,3338.4,3367.2,14561,0.007721314419105682
76,2017-05-15,3376.6,3399.0,3376.6,3386.6,12135,0.0057614635305298445
77,2017-05-16,3383.0,3431.2,3370.0,3431.0,14494,0.013110494301068946
78,2017-05-17,3425.2,3431.2,3409.2,3411.0,10711,-0.005829204313611192
79,2017-05-18,3394.8,3412.4,3388.0,3392.4,8347,-0.005452946350043949
80,2017-05-19,3381.2,3388.4,3373.6,3381.8,12395,-0.003124631529300763
81,2017-05-22,3380.0,3405.6,3371.2,3382.2,15003,0.00011828020580745052
82,2017-05-23,3384.2,3421.6,3379.2,3402.0,17974,0.005854177754124589
83,2017-05-24,3399.2,3407.6,3374.0,3402.0,16750,0.0
84,2017-05-25,3402.4,3493.6,3400.6,3486.0,19227,0.024691358024691357
85,2017-05-26,3485.8,3500.0,3470.2,3480.6,13469,-0.001549053356282298
86,2017-05-31,3505.4,3516.8,3466.2,3482.0,14231,0.00040222950066083174
87,2017-06-01,3479.4,3495.0,3474.2,3489.0,12816,0.002010338885697875
88,2017-06-02,3486.0,3494.8,3461.0,3480.8,13699,-0.002350243622814508
89,2017-06-05,3482.0,3488.6,3456.0,3456.6,12122,-0.006952424729947217
90,2017-06-06,3460.0,3485.6,3456.2,3484.6,12558,0.008100445524503848
91,2017-06-07,3484.4,3536.0,3481.6,3533.0,15078,0.013889686047179042
92,2017-06-08,3531.0,3566.2,3526.2,3559.8,13699,0.007585621285026941
93,2017-06-09,3563.0,3589.6,3558.4,3578.6,13058,0.005281195572784911
94,2017-06-12,3570.8,3598.0,3562.0,3568.0,13594,-0.002962052199184013
95,2017-06-13,3565.0,3588.0,3554.6,3576.2,13392,0.0022982062780268547
96,2017-06-14,3570.0,3573.0,3528.8,3532.0,12903,-0.012359487724400152
97,2017-06-15,3530.0,3550.8,3512.4,3524.0,11443,-0.0022650056625141564
98,2017-06-16,3508.8,3518.8,3483.2,3488.0,12379,-0.01021566401816118
99,2017-06-19,3499.8,3538.0,3494.6,3530.0,14329,0.012041284403669725
100,2017-06-20,3535.0,3545.6,3513.4,3521.0,12735,-0.0025495750708215297
101,2017-06-21,3540.4,3558.4,3512.2,3558.4,15813,0.010621982391366115
102,2017-06-22,3556.2,3606.0,3552.0,3560.8,17959,0.0006744604316547018
103,2017-06-23,3564.0,3600.8,3542.6,3597.4,17224,0.010278589081105344
104,2017-06-26,3599.8,3650.0,3599.8,3647.2,15596,0.013843331294823964
105,2017-06-27,3645.2,3656.0,3627.4,3650.4,13273,0.0008773853915333058
106,2017-06-28,3644.8,3648.4,3620.0,3627.0,13648,-0.006410256410256435
107,2017-06-29,3638.2,3651.4,3627.2,3649.0,13717,0.006065618968844775
108,2017-06-30,3632.0,3655.4,3629.0,3642.6,12822,-0.001753905179501258
109,2017-07-03,3647.0,3648.4,3612.0,3625.8,13307,-0.004612090265195115
110,2017-07-04,3627.0,3627.2,3584.4,3587.0,13850,-0.010701086656737873
111,2017-07-05,3592.2,3646.8,3590.8,3640.8,14242,0.014998606077502141
112,2017-07-06,3636.4,3645.4,3605.2,3633.2,14582,-0.0020874533069656018
113,2017-07-07,3627.2,3635.8,3613.2,3627.2,12237,-0.001651436749972476
114,2017-07-10,3622.0,3649.6,3621.2,3634.0,12756,0.0018747243052492782
115,2017-07-11,3631.8,3693.0,3631.0,3661.8,16206,0.0076499724821134235
116,2017-07-12,3669.2,3678.2,3620.6,3638.8,16139,-0.006281063957616472
117,2017-07-13,3648.6,3683.0,3642.6,3679.2,14609,0.01110256128393966
118,2017-07-14,3676.0,3700.0,3663.6,3698.8,12753,0.00532724505327255
119,2017-07-17,3700.0,3709.6,3630.2,3649.8,16587,-0.013247539742619227
120,2017-07-18,3650.8,3665.2,3622.2,3650.0,14786,5.479752315190369e-05
121,2017-07-19,3643.6,3733.2,3643.6,3729.4,14792,0.02175342465753427
122,2017-07-20,3728.8,3747.8,3723.2,3747.2,10047,0.004772885718882321
