MONTH,LAST,CHANGE,PRIOR SETTLE,OPEN,HIGH,LOW,VOLUME,year,month,PERIOD,PERIODT1,PERIODT2,ConveAdjust,FutureRate,ForwardRate
20211001,99.8725,-0.0049999999999954525,99.8775,99.875,99.8775,99.8725,44333,2021,10,0.0,0.0,0.25,0.0,0.12749999999999773,0.0012925023517123292
20211101,99.86,-0.0049999999999954525,99.865,99.865,99.865,99.86,10956,2021,11,0.0833333333333333,0.0833333333333333,0.3333333333333333,1.999999999999999e-06,0.14000000000000057,0.0014171960996123979
20211201,99.83,-0.010000000000005116,99.84,99.84,99.84,99.83,227486,2021,12,0.1666666666666666,0.1666666666666666,0.4166666666666666,4.999999999999997e-06,0.1700000000000017,0.00171824494749227
20220101,99.855,-0.0049999999999954525,99.86,99.86,99.86,99.855,7907,2022,1,0.25,0.25,0.5,9e-06,0.14499999999999602,0.0014608724905930972
20220201,99.855,-0.0049999999999954525,99.86,99.855,99.86,99.855,977,2022,2,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.4000000000000001e-05,0.14499999999999602,0.0014558724905930972
20220301,99.845,-0.010000000000005116,99.855,99.85,99.855,99.845,219037,2022,3,0.4166666666666666,0.4166666666666666,0.6666666666666666,1.9999999999999995e-05,0.15500000000000114,0.0015512233729061589
20220601,99.765,-0.025000000000005684,99.79,99.785,99.795,99.765,512154,2022,6,0.6666666666666667,0.6666666666666667,0.9166666666666669,4.400000000000002e-05,0.23499999999999943,0.002337939262721965
20220901,99.645,-0.020000000000010232,99.665,99.665,99.68,99.64,447754,2022,9,0.9166666666666666,0.9166666666666666,1.1666666666666663,7.699999999999999e-05,0.355000000000004,0.003520709308091594
20221201,99.45,-0.024999999999991473,99.475,99.47,99.49,99.45,491151,2022,12,1.1666666666666667,1.1666666666666667,1.4166666666666667,0.00011900000000000002,0.5499999999999972,0.0054535586321940105
20230301,99.305,-0.03499999999999659,99.34,99.335,99.355,99.30,258404,2023,3,1.4166666666666663,1.4166666666666663,1.6666666666666663,0.0001699999999999999,0.6949999999999932,0.006870413188478653
20230601,99.14,-0.04000000000000625,99.18,99.175,99.195,99.135,248645,2023,6,1.6666666666666667,1.6666666666666667,1.9166666666666667,0.00023,0.8599999999999994,0.008480084455250623
20230901,98.905,-0.045000000000001705,98.95,98.945,98.97,98.90,176618,2023,9,1.9166666666666667,1.9166666666666667,2.166666666666667,0.0002990000000000001,1.0949999999999989,0.0107879150326141
20231201,98.76,-0.05499999999999261,98.815,98.81,98.84,98.755,324060,2023,12,2.1666666666666665,2.1666666666666665,2.4166666666666665,0.00037699999999999995,1.2399999999999949,0.012175775457392662
20240301,98.635,-0.05499999999999261,98.69,98.68,98.72,98.63,108560,2024,3,2.4166666666666665,2.4166666666666665,2.6666666666666665,0.000464,1.3649999999999949,0.013352023128522274
20240601,98.52,-0.060000000000002274,98.58,98.565,98.61,98.515,99480,2024,6,2.6666666666666665,2.6666666666666665,2.9166666666666665,0.00056,1.480000000000004,0.014417863563671404
20240901,98.41,-0.06499999999999773,98.475,98.46,98.505,98.41,97814,2024,9,2.9166666666666665,2.9166666666666665,3.1666666666666665,0.0006649999999999999,1.5900000000000034,0.015423877831172687
20241201,98.31,-0.06999999999999318,98.38,98.365,98.41,98.31,160076,2024,12,3.1666666666666665,3.1666666666666665,3.4166666666666665,0.000779,1.6899999999999977,0.01631962675471214
20250301,98.245,-0.06499999999999773,98.31,98.295,98.34,98.245,51166,2025,3,3.4166666666666665,3.4166666666666665,3.6666666666666665,0.000902,1.7549999999999955,0.016852828764025368
20250601,98.185,-0.060000000000002274,98.245,98.235,98.275,98.18,40639,2025,6,3.6666666666666665,3.6666666666666665,3.9166666666666665,0.001034,1.8149999999999977,0.01732645947145768
20250901,98.125,-0.06499999999999773,98.19,98.175,98.215,98.125,33227,2025,9,3.9166666666666665,3.9166666666666665,4.166666666666666,0.0011749999999999996,1.875,0.017790999751379533
20251201,98.06,-0.06499999999999773,98.125,98.11,98.15,98.06,41057,2025,12,4.166666666666667,4.166666666666667,4.416666666666667,0.0013250000000000002,1.9399999999999977,0.01829689970767745
20260301,98.02,-0.060000000000002274,98.08,98.065,98.105,98.02,27202,2026,3,4.416666666666667,4.416666666666667,4.666666666666667,0.0014840000000000003,1.980000000000004,0.018541477731252122
20260601,97.965,-0.06499999999999773,98.03,98.015,98.05,97.965,25028,2026,6,4.666666666666667,4.666666666666667,4.916666666666667,0.0016520000000000003,2.0349999999999966,0.018928331946418065
20260901,97.92,-0.060000000000002274,97.98,97.97,98.00,97.92,31297,2026,9,4.916666666666667,4.916666666666667,5.166666666666667,0.0018290000000000003,2.0799999999999983,0.01920524712071729
20261201,97.88,-0.045000000000001705,97.925,97.90,97.94,97.87,1245,2026,12,5.166666666666667,5.166666666666667,5.416666666666667,0.0020150000000000003,2.1200000000000045,0.019422684629685164
20270301,97.86,-0.030000000000001137,97.89,97.865,97.90,97.85,1784,2027,3,5.416666666666667,5.416666666666667,5.666666666666667,0.0022100000000000006,2.1400000000000006,0.019429388335272014
20270601,97.80,-0.045000000000001705,97.845,97.82,97.85,97.80,559,2027,6,5.666666666666667,5.666666666666667,5.916666666666667,0.0024140000000000003,2.200000000000003,0.019830439268421745
20270901,97.75,-0.060000000000002274,97.81,97.78,97.82,97.74,917,2027,9,5.916666666666667,5.916666666666667,6.166666666666667,0.0026270000000000004,2.25,0.02012157943384852
